,                   'fuel price',   'carbon content',   'carbon price'
'biogas',           80.395335,      0,                  0.0234675
'coal',             8.8024288,      339.732,            0.0234675
'electricity',      timeVar,        timeVar,            0.0234675
'excess heat',      0,              0,                  0.0234675
'fuel oil',         29.600292,      285.084,            0.0234675
'gas oil',          47.218756,      266.76,             0.0234675
'municipal waste', -19.696608,      153,                0.0234675
'natural gas',      22.317995,      178.246,            0.0234675
'wood chips',       25.861453,      0,                  0.0234675
'wood pellets',     34.918031,      0,                  0.0234675
'wood waste',       12.069,         0,                  0.0234675
'biomass residues', 18.76226,       0,                  0.0234675
