T,S,CASE,value
T0001,wt_amager,integrated,275.8566509485282
T0001,wt_amager,reference,275.8566509485282
T0001,wt_avedore,integrated,1099.9076
T0001,wt_avedore,reference,1099.9076
T0001,pit_taastrup,integrated,1620.19935
T0001,pit_taastrup,reference,1620.19935
T0002,wt_amager,integrated,40.69964993837675
T0002,wt_amager,reference,40.69964993837675
T0002,wt_avedore,integrated,1099.8152077616
T0002,wt_avedore,reference,1099.8152077616
T0002,pit_taastrup,integrated,1590.40051783965
T0002,pit_taastrup,reference,1590.40051783965
T0003,wt_amager,integrated,0.0
T0003,wt_amager,reference,0.0
T0003,wt_avedore,integrated,906.5385694004582
T0003,wt_avedore,reference,906.5385694004582
T0003,pit_taastrup,integrated,1560.603503408062
T0003,pit_taastrup,reference,1560.603503408062
T0004,wt_amager,integrated,0.0
T0004,wt_amager,reference,0.0
T0004,wt_avedore,integrated,638.6663831091566
T0004,wt_avedore,reference,638.6663831091566
T0004,pit_taastrup,integrated,1530.808306594354
T0004,pit_taastrup,reference,1530.808306594354
T0005,wt_amager,integrated,0.0
T0005,wt_amager,reference,0.0
T0005,wt_avedore,integrated,375.7809700815036
T0005,wt_avedore,reference,375.7809700815036
T0005,pit_taastrup,integrated,1501.0149272876517
T0005,pit_taastrup,reference,1501.0149272876517
T0006,wt_amager,integrated,0.0
T0006,wt_amager,reference,0.0
T0006,wt_avedore,integrated,161.93712742854495
T0006,wt_avedore,reference,161.93712742854495
T0006,pit_taastrup,integrated,1471.2233653770872
T0006,pit_taastrup,reference,1471.2233653770872
T0007,wt_amager,integrated,0.0
T0007,wt_amager,reference,0.0
T0007,wt_avedore,integrated,0.0
T0007,wt_avedore,reference,0.0
T0007,pit_taastrup,integrated,1441.4336207517993
T0007,pit_taastrup,reference,1441.4336207517993
T0008,wt_amager,integrated,0.0
T0008,wt_amager,reference,0.0
T0008,wt_avedore,integrated,0.0
T0008,wt_avedore,reference,0.0
T0008,pit_taastrup,integrated,1411.6456933009333
T0008,pit_taastrup,reference,1411.6456933009333
T0009,wt_amager,integrated,0.0
T0009,wt_amager,reference,0.0
T0009,wt_avedore,integrated,0.0
T0009,wt_avedore,reference,0.0
T0009,pit_taastrup,integrated,1381.859582913642
T0009,pit_taastrup,reference,1381.859582913642
T0010,wt_amager,integrated,0.0
T0010,wt_amager,reference,0.0
T0010,wt_avedore,integrated,0.0
T0010,wt_avedore,reference,0.0
T0010,pit_taastrup,integrated,1352.0752894790844
T0010,pit_taastrup,reference,1352.0752894790844
T0011,wt_amager,integrated,0.0
T0011,wt_amager,reference,0.0
T0011,wt_avedore,integrated,0.0
T0011,wt_avedore,reference,0.0
T0011,pit_taastrup,integrated,1322.2928128864262
T0011,pit_taastrup,reference,1322.2928128864262
T0012,wt_amager,integrated,0.0
T0012,wt_amager,reference,0.0
T0012,wt_avedore,integrated,0.0
T0012,wt_avedore,reference,0.0
T0012,pit_taastrup,integrated,1292.51215302484
T0012,pit_taastrup,reference,1292.51215302484
T0013,wt_amager,integrated,0.0
T0013,wt_amager,reference,0.0
T0013,wt_avedore,integrated,0.0
T0013,wt_avedore,reference,0.0
T0013,pit_taastrup,integrated,1262.7333097835055
T0013,pit_taastrup,reference,1262.7333097835055
T0014,wt_amager,integrated,0.0
T0014,wt_amager,reference,0.0
T0014,wt_avedore,integrated,0.0
T0014,wt_avedore,reference,0.0
T0014,pit_taastrup,integrated,1232.9562830516088
T0014,pit_taastrup,reference,1232.9562830516088
T0015,wt_amager,integrated,0.0
T0015,wt_amager,reference,0.0
T0015,wt_avedore,integrated,0.0
T0015,wt_avedore,reference,0.0
T0015,pit_taastrup,integrated,1203.1810727183426
T0015,pit_taastrup,reference,1203.1810727183426
T0016,wt_amager,integrated,150.7652424448005
T0016,wt_amager,reference,150.7652424448005
T0016,wt_avedore,integrated,330.0
T0016,wt_avedore,reference,330.0
T0016,pit_taastrup,integrated,1232.8076786729068
T0016,pit_taastrup,reference,1232.8076786729068
T0017,wt_amager,integrated,430.3195951726723
T0017,wt_amager,reference,430.3195951726723
T0017,wt_avedore,integrated,659.97228
T0017,wt_avedore,reference,659.97228
T0017,pit_taastrup,integrated,1262.4324774045078
T0017,pit_taastrup,reference,1262.4324774045078
T0018,wt_amager,integrated,716.694561334915
T0018,wt_amager,reference,716.694561334915
T0018,wt_avedore,integrated,989.91684232848
T0018,wt_avedore,reference,989.91684232848
T0018,pit_taastrup,integrated,1292.0554690233862
T0018,pit_taastrup,reference,1292.0554690233862
T0019,wt_amager,integrated,1000.0
T0019,wt_amager,reference,1000.0
T0019,wt_avedore,integrated,1319.8336893137243
T0019,wt_avedore,reference,1319.8336893137243
T0019,pit_taastrup,integrated,1321.6766536397759
T0019,pit_taastrup,reference,1321.6766536397759
T0020,wt_amager,integrated,1000.0
T0020,wt_amager,reference,1000.0
T0020,wt_avedore,integrated,1649.722823283822
T0020,wt_avedore,reference,1649.722823283822
T0020,pit_taastrup,integrated,1351.296031363904
T0020,pit_taastrup,reference,1351.296031363904
T0021,wt_amager,integrated,974.8272175328904
T0021,wt_amager,reference,974.8272175328904
T0021,wt_avedore,integrated,1649.5842465666663
T0021,wt_avedore,reference,1649.5842465666663
T0021,pit_taastrup,integrated,1321.5136023059906
T0021,pit_taastrup,reference,1321.5136023059906
T0022,wt_amager,integrated,674.7453320466176
T0022,wt_amager,reference,674.7453320466176
T0022,wt_avedore,integrated,1621.344332438483
T0022,wt_avedore,reference,1621.344332438483
T0022,pit_taastrup,integrated,1291.7329899762499
